15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,10,10,10,13,10,10,10,13,10,10,10,13,15,15,15,15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,10,13,13,10,10,10,13,13,10,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,
15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,10,10,13,13,10,13,13,10,10,10,13,14,14,14,14,14,14,14,14,14,14,14,15,15,
15,15,14,14,14,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,10,10,10,10,10,10,10,10,10,10,13,14,14,14,14,14,14,14,14,14,14,14,15,15,
15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,10,10,10,10,10,10,10,10,10,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,
15,15,14,14,14,13,13,13,14,14,14,14,14,14,16,14,14,14,14,14,14,14,14,13,13,13,13,13,13,10,10,10,13,13,13,13,13,13,14,16,14,14,17,14,14,14,14,14,15,15,
13,13,13,13,13,13,13,13,14,14,14,14,14,14,16,14,14,14,14,14,14,14,14,13,13,13,14,14,14,14,11,14,14,14,14,13,13,13,14,14,16,14,14,17,14,14,14,14,15,15,
16,16,16,16,16,13,13,13,14,14,16,14,14,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,14,14,14,17,16,14,14,17,14,14,14,14,15,15,
16,16,16,16,16,16,13,14,14,14,14,14,14,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,17,14,14,14,14,15,15,
16,16,16,16,16,16,13,14,14,14,16,14,14,14,14,14,14,14,14,1,12,12,12,12,12,12,12,12,12,12,7,14,14,14,14,14,14,14,14,14,14,17,14,17,14,17,14,14,15,15,
16,16,16,16,16,16,13,14,14,14,14,14,14,14,14,14,14,14,1,7,15,15,15,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,17,17,14,14,14,17,14,15,15,
16,16,16,16,16,16,13,14,14,14,14,14,14,14,14,14,14,14,11,15,15,15,15,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,17,17,14,14,14,17,14,15,15,
16,16,16,16,16,13,13,13,14,14,14,14,14,13,13,13,14,14,11,15,15,15,15,15,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,14,14,14,14,15,15,
16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,14,14,11,15,15,15,15,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,
10,10,10,10,10,13,13,13,17,17,17,17,17,13,13,13,14,14,11,17,17,15,17,17,17,17,14,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,
10,10,10,10,10,10,13,17,17,17,17,17,17,17,13,14,14,14,11,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,14,1,12,2,14,16,14,14,14,14,14,14,15,15,
1,15,15,2,10,10,13,17,17,17,17,17,17,17,13,17,17,17,6,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,17,11,14,14,16,16,14,14,14,14,15,15,
10,17,17,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,6,12,12,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,17,11,14,14,14,14,16,16,14,14,15,15,
10,17,17,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,11,16,16,1,12,12,12,12,8,12,12,12,12,12,12,7,17,11,14,14,14,14,14,14,14,14,15,15,
6,15,15,7,10,10,13,17,17,17,17,17,17,17,13,17,17,17,14,14,14,14,6,12,12,7,16,16,16,16,11,16,16,16,16,14,14,14,17,11,14,14,14,14,14,14,14,14,15,15,
